#SimulationArgs(mode=genetic-algorithm, inputFile=null, outputFilePath=./output.json, numberOfGenerations=50, populationSize=10, mutationRate=0.1, mutationProb=0.1, crossoverRate=0.5, elitismRate=0.1, reverseElitismN=1, tournamentSize=2, maxIterations=100, crossoverBlxAlpha=0.01, numberOfSimulationsPerFitness=10, typeOfReproduction=sexuado)
Best Fitness,Average Fitness,Worst Fitness,Standard Deviation,Best Parameters
9.473434909607642E-4,6.368253467014027E-4,4.736717454803821E-4,2.0410746485266507E-4,(0.42375|0.83624|0.54576|0.13291|0.66383|0.90720|0.99550)
9.473434909607642E-4,7.789268703455172E-4,4.736717454803821E-4,2.0593139703180288E-4,(0.15913|0.65824|0.95003|0.67694|0.36127|0.57850|0.35459)
9.473434909607642E-4,8.789242388358203E-4,4.736717454803821E-4,1.4895367698834143E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
9.473434909607642E-4,9.44711981263651E-4,9.210283939896319E-4,7.89452909133971E-6,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
9.473434909607642E-4,9.473434909607642E-4,9.473434909607642E-4,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
9.473434909607642E-4,9.473434909607642E-4,9.473434909607642E-4,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0010841819952106524,9.473434909607642E-4,1.6759225628894668E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0011526012473355965,9.473434909607642E-4,1.6759225628894668E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0011552327570327097,9.473434909607642E-4,1.6452723909729313E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012236520091576538,9.473434909607642E-4,1.3170699461848058E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0011420752085471437,4.736717454803821E-4,2.578879503170969E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012552301255230127,9.473434909607642E-4,1.0262887818741613E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012499671061287861,8.947132970184995E-4,1.1841793637009554E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.001247335596431673,8.683982000473672E-4,1.2631246546143527E-4,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0012894397515854847,0.0012894397515854847,0.0012894397515854847,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0013420699455277492,0.001294702770979711,0.0012894397515854847,1.5789058182679355E-5,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0013420699455277492,0.0013104918291623907,0.0012894397515854847,2.5783424044453248E-5,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0013420699455277492,0.0013210178679508434,0.0012894397515854847,2.578342404445325E-5,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0013420699455277492,0.0013368069261335228,0.0012894397515854847,1.578905818267935E-5,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
0.0013420699455277492,0.0013420699455277492,0.0013420699455277492,0.0,(0.72946|0.73865|0.21013|0.29964|0.27874|0.06257|0.41969)
